customer_id,region,plan_tier,tenure_months,price_sensitivity_flag
C000001,metro_south,standard,24,False
C000002,rural_south,basic,15,False
C000003,suburb_east,basic,16,True
C000004,urban_west,standard,28,False
C000005,metro_north,standard,23,False
C000006,metro_north,standard,22,False
C000007,metro_north,premium,44,False
C000008,rural_north,basic,3,False
C000009,urban_west,standard,10,False
C000010,suburb_east,basic,18,True
C000011,metro_north,basic,19,True
C000012,rural_south,basic,25,False
C000013,suburb_east,basic,15,True
C000014,metro_south,basic,7,True
C000015,metro_north,basic,1,False
C000016,metro_north,premium,37,False
C000017,metro_south,standard,34,False
C000018,urban_east,premium,65,False
C000019,urban_east,standard,30,False
C000020,metro_south,basic,7,False
C000021,urban_west,basic,10,False
C000022,metro_north,basic,10,False
C000023,metro_south,basic,14,True
C000024,metro_south,standard,41,False
C000025,urban_east,standard,41,False
C000026,suburb_east,basic,16,False
C000027,metro_north,basic,19,False
C000028,urban_east,basic,10,True
C000029,urban_west,basic,2,False
C000030,metro_north,basic,34,True
C000031,urban_west,standard,6,False
C000032,metro_north,basic,1,False
C000033,metro_north,standard,47,False
C000034,rural_south,basic,18,True
C000035,rural_south,basic,7,False
C000036,suburb_east,standard,36,False
C000037,metro_south,standard,37,False
C000038,metro_north,basic,6,False
C000039,urban_west,premium,41,False
C000040,urban_east,basic,25,False
C000041,metro_north,basic,10,False
C000042,urban_east,standard,32,False
C000043,metro_north,standard,44,False
C000044,rural_north,basic,1,False
C000045,metro_south,basic,14,False
C000046,urban_west,premium,51,False
C000047,metro_south,basic,1,True
C000048,urban_east,basic,13,False
C000049,urban_west,standard,40,True
C000050,metro_north,premium,39,False
C000051,rural_south,basic,4,True
C000052,suburb_east,standard,41,False
C000053,rural_south,standard,34,True
C000054,rural_north,basic,17,False
C000055,urban_west,standard,29,False
C000056,rural_south,premium,60,False
C000057,metro_north,basic,20,False
C000058,metro_north,basic,23,True
C000059,metro_north,premium,39,False
C000060,metro_south,standard,10,False
C000061,urban_east,basic,23,True
C000062,metro_south,standard,41,False
C000063,suburb_east,standard,27,False
C000064,metro_south,standard,38,False
C000065,metro_south,premium,43,False
C000066,urban_west,basic,17,False
C000067,metro_north,basic,33,True
C000068,suburb_east,standard,27,False
C000069,metro_north,basic,14,True
C000070,rural_south,standard,11,False
C000071,suburb_east,basic,24,False
C000072,metro_north,basic,11,True
C000073,metro_north,standard,31,False
C000074,suburb_east,standard,26,False
C000075,suburb_east,standard,25,False
C000076,suburb_east,standard,28,False
C000077,suburb_east,basic,17,True
C000078,metro_north,basic,28,False
C000079,metro_south,standard,45,False
C000080,metro_north,basic,23,False
C000081,rural_north,standard,42,True
C000082,urban_west,standard,38,False
C000083,metro_south,basic,22,True
C000084,metro_north,standard,44,False
C000085,metro_south,basic,6,False
C000086,metro_south,standard,23,True
C000087,suburb_east,basic,10,False
C000088,urban_west,basic,15,False
C000089,rural_north,standard,36,False
C000090,urban_east,standard,18,False
C000091,metro_north,standard,35,False
C000092,suburb_east,standard,24,False
C000093,suburb_east,standard,26,False
C000094,urban_west,basic,19,False
C000095,suburb_east,standard,46,True
C000096,urban_east,standard,22,False
C000097,urban_east,basic,17,True
